a.ecor,1,2,3,4,5,6,7,8,9,10,11,12
100,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0,19863367120.0
102,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0,384112352.0
104,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0,932615976.0
105,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0,39284294792.0
106,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0,31562998640.0
107,58066582800.0,54362865976.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0,58066582800.0
108,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0,226025160160.0
109,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0,355655888.0
110,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0,12307344456.0
111,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0,909164984.0
112,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0,454064008.0
113,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0,8362131448.0
114,19609988840.0,17680149432.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0,19609988840.0
115,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0,232709280.0
116,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0,85176304.0
117,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0,270313104.0
118,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0,701220704.0
119,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0,73891916736.0
120,9372106576.0,9274757688.0,9372106576.0,9368546032.0,9372106576.0,9368546032.0,9372106576.0,9372106576.0,9368546032.0,9372106576.0,9368546032.0,9372106576.0
121,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0,20325903072.0
122,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0,62119849576.0
123,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0,99705491560.0
