b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Czech Republic,,PRAHA,50.08,14.47,0,0,4840701835.391896,186107751.7118781,5000000000,1127892448,878182179.5769553,0,0,2397252796.960868,112648916.81311324,2496000000,814181248,450707391.4518538,10,CZ
Denmark,,ALBERTSLUND,55.65,12.35,41100000000,923577056,41100000000.0,9701004446.559391,41100000000,20084975664,0.0,7347338968,518670840,9027528528.606718,3346648437.7652082,9360000000,6810231536,265035438.52922544,11,DK-DK2
Denmark,,ARHUS,56.15,10.22,49000000000,77062312,49000000000.0,6113788697.19035,49000000000,18030281712,0.0,10075023512,313389096,15094265680.744314,2457129805.2074337,15840000000,6044838344,634450259.9265591,12,DK-DK1
Denmark,,BALLERUP,55.73,12.37,39200000000,478345384,39200000000.0,5571843159.179961,39200000000,12984401488,0.0,16228992584,328182168,18322463166.456886,2142211191.0137365,19293600768,4554702992,595669422.6189631,13,DK-DK2
Denmark,,COPENHAGEN,55.67,12.58,49000000000,3271541608,87571026203.39374,19812214873.178345,88200000000,37467509192,4925745176.928228,9005369648,1055529848,17287534986.279118,5552797532.54069,18048000000,9546362288,1137319167.4395053,14,DK-DK2
Denmark,,LUNDERSKOV,55.48,9.3,39200000000,131038592,39200000000.0,1738309591.7054138,39200000000,14742839224,0.0,6336000000,60700704,7526685615.7164955,480132850.07687867,7632000000,3948988184,210381202.10475808,15,DK-DK1
Denmark,,SOBORG,55.73,12.52,9800000000,156003176,9800000000.0,1602496702.18908,9800000000,4015861936,0.0,1110786320,157101000,1733920551.5558121,730522033.8931086,1915200000,1535959120,200199610.08134496,16,DK-DK2
Estonia,,TALLINN,59.43,24.73,0,0,8243402978.183078,1224384547.8434722,9800000000,4524563112,3582336932.6310005,0,0,2819463490.1415215,360857479.9418215,3360000000,1141270816,1226612941.8646123,17,EE
Faroe Islands,,TORSHAVN,62.02,-6.77,950000000,0,950000000.0,0.0,950000000,0,0.0,0,0,0.0,0.0,0,0,0.0,18,FO-MI
Finland,,ESPOO,60.22,24.67,128550000000,896102624,134308051483.31987,7751641161.004733,138350000000,25424808032,4824565734.983438,17280000000,674851800,23207338681.43045,2991729423.989842,24643200000,7077680216,1254628442.9502928,19,FI
Finland,,HELSINKI,60.18,24.93,32900000000,937092672,32900000000.0,6008315498.675285,32900000000,23568526392,0.0,10244767968,306957288,12377581891.143484,1694196169.8238485,12481200000,5893314040,299616315.36292464,20,FI
Finland,,VANTAA,60.3,24.85,215600000000,3215254280,215600000000.0,25189932834.246796,215600000000,51997460376,0.0,23678794408,1552923888,34840626421.393974,7170475469.513102,36016784528,14620778456,1152348884.8259065,21,FI
France,,AUBERVILLIERS,48.92,2.38,154202000000,5070418192,351294333602.67804,38091751915.520256,395602000000,74237902768,29755789803.092224,55139907576,5092195176,112947661462.17154,22126949785.351955,131677345872,38816473312,11717789536.36802,22,FR
France,,BOULOGNEBILLANCOURT,48.83,2.25,39200000000,0,39200000000.0,2723300724.5462313,39200000000,8705780664,0.0,0,0,13016806152.276117,1133731732.3061295,13176000000,2541620328,430512946.04923016,23,FR
France,,COURBEVOIE,48.54,2.15,39200000000,23378336,39200000000.0,1340943183.9011889,39200000000,8151818200,0.0,10768991160,377838112,13073463801.979914,944526630.5436915,13368000000,2447576440,390178153.2943089,24,FR
France,,LYON,45.75,4.85,19600000000,39225800,19600000000.0,1419636624.6769018,19600000000,5435833560,0.0,4435207792,29253664,5256266933.655315,513319024.36938703,5280000000,1452737048,117439593.2753858,25,FR
France,,MARSEILLE,43.3,5.4,9800000000,4213264,9800000000.0,93550065.90141983,9800000000,313874904,0.0,0,17862208,2849278720.5623918,66775204.47143022,2880000000,649007088,137779795.55776107,26,FR
France,,MAXEVILLE,48.72,6.17,950000000,7974416,950000000.0,98515127.92796953,950000000,490663552,0.0,640800000,4932816,955552548.0752627,39573587.97091077,961200000,242873792,41664705.82827778,27,FR
France,,NANTERRE,48.9,2.2,479800000000,14681531272,644735634306.8221,68215820330.35392,687600000000,134482264736,35284335743.277435,100675328488,6119734912,142204575478.1272,24891845838.603718,147684146624,45724357416,6707418969.802806,28,FR
France,,PARIS,48.87,2.33,677627000000,21748076504,1106918317095.6943,108765793190.85028,1136459000000,203132201248,51143475330.47807,185090959744,16379136504,302637326056.4534,51653827300.46681,323341022192,96649687728,16500018228.028767,29,FR
France,,SAINTDENIS,48.93,2.37,11700000000,1422257720,289209869560.19855,27270518338.15168,290100000000,66470677128,13263636314.162474,2475600000,1725180816,55770382955.00034,10368398269.783678,56822800640,20901853328,2805047070.295339,30,FR
France,,VILLEPINTE,48.97,2.53,275400000000,2207699744,325532748470.5068,19686892267.7973,375400000000,37198834448,25619426964.939884,47584973880,1587220296,54011511078.96202,6472448774.87891,73829875632,15543825968,1088391658.0811784,31,FR
Germany,BE,BERLIN,52.52,13.4,101800000000,2010642664,237280503289.8534,25965321307.638462,239000000000,66767604832,15159622241.42195,24010462552,1142353504,52295724386.7981,8704866358.78564,54232800256,21264667568,3381388254.512062,32,DE
Germany,BW,BOEBLINGEN,48.68,9.02,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,33,DE
Germany,BW,KARLSRUHE,49.0,8.39,3800000000,15153928,42662876601.63915,2203604332.220247,43000000000,9734449024,3586009866.7758985,2873726568,138897064,11587463253.005194,770234582.1336719,11754800000,2866806952,919572784.4290634,34,DE
Germany,BW,STUTTGART,48.77,9.18,30000000000,302419968,30000000000.0,6060944825.553272,30000000000,13749409232,0.0,0,336993912,9034127388.138983,2192888303.889184,9240000000,4920526056,348176208.32071334,35,DE
Germany,BY,ERLANGEN,49.59,11.0,19600000000,49311680,19600000000.0,710524938.9283159,19600000000,3060370632,0.0,1689581648,49284920,2151600865.923583,271635804.0817269,2304000000,741223760,96375441.22982256,36,DE
Germany,BY,MUNICH,48.15,11.58,485695000000,5971865544,530014335103.3129,44688470690.01778,545495000000,107761374208,9991046738.724192,107488844800,4570833080,125079979183.04698,17943988100.319057,128785955784,37640720400,3014189959.125907,37,DE
Germany,BY,RAISTING,47.91,11.1,950000000,2043272,950000000.0,12083284.621955443,950000000,63816184,0.0,480000000,2867880,716705678.2915848,11359888.499595983,720000000,98581832,27537498.125638165,38,DE
Germany,HE,FRANKFURT,50.12,8.68,3942467000000,95115622904,4476704642387.164,445619936317.6692,4623567000000,864649059904,105935607399.54335,992921683040,63030455800,1124749968097.4424,210966866875.52948,1148689389456,370015459248,24258291047.04775,39,DE
Germany,HH,HAMBURG,53.55,10.0,324500000000,8671938544,529468740621.032,45352589345.239296,562900000000,118499408728,35352250993.49538,54143612040,3757931552,96193196868.96457,14737991670.841972,104923853960,29629627256,6947747444.387396,40,DE
Germany,NI,HANNOVER,52.37,9.72,19600000000,61389432,19600000000.0,935332856.3047444,19600000000,3279761168,0.0,2160000000,25516936,3096890503.3203278,255952330.11843473,3120000000,928270768,109226755.76520638,41,DE
Germany,NI,OLDENBURG,53.17,8.2,9800000000,390852088,9800000000.0,3444444549.836315,9800000000,8388590880,0.0,2160000000,123847776,2853596628.5665474,911039183.2261342,3120000000,2192686936,188089325.84955597,42,DE
Germany,NW,DUSSELDORF,51.22,6.77,147950000000,3711741704,327631749971.14166,40621081689.069374,383150000000,108687082352,32248736127.743336,52584891488,3709274328,98600813149.95451,15047558218.173843,107328521224,31618402152,8712024513.173683,43,DE
Germany,NW,LANGENHAGEN,51.68,8.53,29400000000,0,29400000000.0,5482791064.202239,29400000000,9889140840,0.0,0,0,9744813502.120743,1928455892.0992727,10288000000,4011964624,574168264.254581,44,DE
Germany,RP,MAINZ,50.0,8.27,950000000,1131072,950000000.0,2564605.9517488168,950000000,17134856,0.0,1680000000,3611048,1911620615.9972296,4997939.976451576,1920000000,26473176,43328972.39730703,45,DE
Germany,SH,KIEL,54.33,10.13,950000000,5820504,950000000.0,114770279.37019508,950000000,407706904,0.0,319200000,33121856,476294054.13644236,85098577.03336027,478800000,250876160,19431549.24264885,46,DE
Germany,SH,NORDERSTEDT,53.7,10.02,9800000000,46517768,9800000000.0,786458481.8081496,9800000000,2856671432,0.0,2563200000,20209864,3190070375.6001387,249110376.53838164,3203999744,887948048,76275449.47081926,47,DE
