b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,region
Germany,SH,NORDERSTEDT,53.7,10.02,9800000000,46517768,9800000000.0,786458481.8081496,9800000000,2856671432,0.0,2563200000,20209864,3190070375.6001387,249110376.53838164,3203999744,887948048,76275449.47081926,DE
Japan,02,MISAWA,40.68,141.4,950000000,0,950000000.0,0.0,950000000,0,0.0,0,0,0.0,0.0,0,0,0.0,JP-TH
Japan,04,SENDAI,38.26,140.89,950000000,3475608,950000000.0,88665403.92843126,950000000,508167304,0.0,576000000,10760552,763948828.2165532,48253288.94193697,768000000,274286864,27027918.550757956,JP-TH
Japan,05,AKITA,39.72,140.07,950000000,5953952,950000000.0,77375045.48262727,950000000,285570432,0.0,159600416,29511368,515835805.8815653,73061446.32482974,638400000,223108968,82065698.55703883,JP-TH
Japan,09,TOCHIGI,36.38,139.73,950000000,1941952,950000000.0,127185719.65277618,950000000,633361816,0.0,720000000,2307232,956813078.5556966,37832924.11774212,960000000,222682480,26998704.08013011,JP-TK
Japan,13,MITAKA,35.68,139.55,0,0,25894032.090499826,2934198.9444765095,32000000,11783176,12574831.29375467,0,0,1259413452.5369964,147391.56597021816,1547584000,1521224,601139707.1668205,JP-TK
Japan,13,OTEMACHI,35.68,139.77,19600000000,139568312,19600000000.0,988792081.5209512,19600000000,2840725904,0.0,1497968808,178596104,2690022029.6229944,594039163.3577282,2760000000,1419645040,176923062.70035663,JP-TK
Japan,13,TOKYO,35.69,139.75,2346264000000,78717459808,2427048197160.337,308763177424.1321,2476564000000,556847416456,27779163789.506638,599274147544,51347282656,668156291887.9612,139857087573.52048,686813155072,225020922864,13689584075.262678,JP-TK
Japan,14,YOKOSUKA,35.28,139.67,950000000,0,950000000.0,0.0,950000000,0,0.0,0,0,0.0,0.0,0,0,0.0,JP-TK
Japan,15,NIIGATA,37.92,139.05,1900000000,4888200,1900000000.0,74790117.24991342,1900000000,688433592,0.0,2161665264,63386296,2974811872.4183307,112622839.02851206,3000000000,249473136,94364562.90745202,JP-TH
Japan,16,TOYAMA,36.68,137.22,950000000,11824064,950000000.0,126854968.01939282,950000000,433176320,0.0,576000000,20413016,763999337.3750433,79952259.1942745,768000000,266599824,26761708.01910767,JP-HR
Japan,23,NAGOYA,35.17,136.92,19600000000,626993632,29340043864.711994,4121833363.6107583,29400000000,14514412312,764226933.4048165,5617094872,271552976,9715993469.850168,1387167745.8035324,10008000000,3522207000,460178234.20585966,JP-CB
Japan,24,MIE,34.7,136.52,1900000000,29364416,1900000000.0,282495832.29550964,1900000000,861487400,0.0,387164808,19069344,762404508.3227519,85317371.09361653,768000000,201105632,31901362.89574296,JP-CB
Japan,27,OSAKA,34.67,135.5,690699000000,28166343192,898625369848.7822,95897866967.8227,907350000000,204767142296,15285698410.512598,141017056552,15133910424,186761840557.4937,38245045257.32148,194486012800,68690829480,7586730265.563878,JP-KN
Japan,29,IKOMA,34.68,135.7,1900000000,13533432,1900000000.0,530988677.3274847,1900000000,1757298128,0.0,720000000,7558816,955515077.1317096,137143529.23282927,960000000,445729408,31949276.100712992,JP-KN
Japan,34,HIROSHIMA,34.4,132.45,19600000000,302869200,19600000000.0,2037565329.5874407,19600000000,5623191160,0.0,2998528200,267160536,4376388994.91354,929383644.1343645,4680000000,1985524960,342728709.21439236,JP-CG
Japan,37,TAKAMATSU,34.33,134.05,19600000000,120424808,19600000000.0,955497791.1827312,19600000000,3247647176,0.0,1680000000,148437840,3896133570.438878,538355100.5822463,4080000000,1347973072,273902911.30848527,JP-SK
Japan,38,MATSUYAMA,33.84,132.76,1900000000,9730344,1900000000.0,109534403.60891147,1900000000,398172744,0.0,720000000,5857136,955558496.400785,35658109.06152603,960000000,190592568,31887276.152630102,JP-SK
Japan,40,FUKUOKA,33.58,130.4,23400000000,533809872,23400000000.0,4075550244.595175,23400000000,11613351344,0.0,7672575328,311382896,9340199473.315018,1530428897.0342836,9600000000,3706874080,310710376.67490095,JP-KY
Japan,41,SAGA,33.25,130.3,950000000,6629616,950000000.0,114462236.70783792,950000000,344010720,0.0,576000000,8749512,764282266.8405864,49786203.665242985,768000000,181139464,25967563.969523206,JP-KY
Japan,46,KAGOSHIMA,31.6,130.55,950000000,11365568,950000000.0,146341135.98337758,950000000,824594688,0.0,720000000,5538256,955634259.2238255,43792884.87867944,960000000,237591880,31554871.456209894,JP-KY
Japan,47,OKINAWA,26.34,127.8,950000000,4244440,950000000.0,72415588.36246105,950000000,201888808,0.0,384000000,12355792,572355913.0638347,42429177.931894265,576000000,221925400,25930741.408423487,JP-ON
